,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.00016609827677408853,2.1186039441004496e-05,0.0,0.0,0.0001,100,l1,lbfgs,"{'C': 0.0001, 'max_iter': 100, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,561
1,0.00016037623087565103,2.5593715932045422e-05,0.0,0.0,0.0001,100,l1,newton-cg,"{'C': 0.0001, 'max_iter': 100, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,561
2,0.0008086363474527994,1.898220525184661e-05,0.0004259745279947917,6.294049796042065e-05,0.0001,100,l1,liblinear,"{'C': 0.0001, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.296875,0.2992125984251969,0.2992125984251969,0.29843339895013127,0.0011019544654318027,537
3,0.0001766681671142578,2.2123736845391443e-05,0.0,0.0,0.0001,100,l1,sag,"{'C': 0.0001, 'max_iter': 100, 'penalty': 'l1', 'solver': 'sag'}",,,,,,561
4,0.0009513696034749349,2.134020169002809e-05,0.0003777345021565755,6.945918844815026e-05,0.0001,100,l1,saga,"{'C': 0.0001, 'max_iter': 100, 'penalty': 'l1', 'solver': 'saga'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
5,0.002778291702270508,0.0013113603723505136,0.0003539721171061198,2.540348437500896e-05,0.0001,100,l2,lbfgs,"{'C': 0.0001, 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
6,0.004506111145019531,0.0020191966136209744,0.00039728482564290363,3.4600734447474125e-05,0.0001,100,l2,newton-cg,"{'C': 0.0001, 'max_iter': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
7,0.0007477601369222006,3.599638060967643e-05,0.0003325939178466797,1.519283305336613e-05,0.0001,100,l2,liblinear,"{'C': 0.0001, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.828125,0.8267716535433071,0.8188976377952756,0.8245980971128608,0.004068522580457976,101
8,0.001266797383626302,0.00014959270766499102,0.00033728281656901043,1.714994113857767e-05,0.0001,100,l2,sag,"{'C': 0.0001, 'max_iter': 100, 'penalty': 'l2', 'solver': 'sag'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
9,0.0017573038736979167,0.000510071808917618,0.000356594721476237,3.968378394244535e-05,0.0001,100,l2,saga,"{'C': 0.0001, 'max_iter': 100, 'penalty': 'l2', 'solver': 'saga'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
